# Region type : faceZone nozzleOutletZone
# Faces  :     3013
# Area   :     6.30029605e-09
# Time         	sum(rhoPhi)	sum(phi)
1.199976e-10   	-4.25974337e-24	3.30284272e-27
2.6398781e-10  	3.55777542e-24	-1.51766421e-26
4.3676611e-10  	4.92392506e-23	-6.15072776e-26
6.4408215e-10  	1.39670990e-22	-2.10308073e-25
8.9285108e-10  	2.11575455e-22	-2.74102976e-25
1.1913589e-09  	2.50028709e-22	-3.38295304e-25
1.5495042e-09  	2.76831625e-22	-3.53563522e-25
1.9791861e-09  	2.49004974e-22	-3.30491795e-25
2.4948044e-09  	2.91967298e-22	-4.13627193e-25
3.1134185e-09  	3.54408800e-22	-5.09976901e-25
3.8554797e-09  	5.78655469e-22	-7.86889416e-25
4.7458207e-09  	6.07069377e-22	-9.30305246e-25
5.8139439e-09  	8.89145503e-22	-1.30430546e-24
7.0955545e-09  	5.91416695e-22	-8.31214628e-25
8.6332894e-09  	7.35842567e-22	-1.20207564e-24
1.0477147e-08  	1.33303440e-21	-1.95076903e-24
1.2687728e-08  	8.12288972e-22	-7.57284621e-25
1.5337478e-08  	5.86436783e-22	-3.26412025e-25
1.8512938e-08  	-9.56641266e-22	1.30944119e-24
2.2316176e-08  	-2.16719475e-21	1.34609169e-24
2.6873051e-08  	-7.36501605e-22	-1.26229567e-26
3.2338777e-08  	-3.97947840e-21	5.51353979e-24
3.8832708e-08  	-1.06423457e-20	1.26644343e-23
4.631808e-08   	-1.30381484e-20	1.55788875e-23
5.4775577e-08  	-2.01557423e-20	3.06439117e-23
6.4172797e-08  	-3.17235950e-20	5.03188233e-23
7.3304057e-08  	-3.87454008e-20	4.80996276e-23
8.1298646e-08  	-4.96116595e-20	6.28495128e-23
8.876441e-08   	-3.96545324e-20	4.92816606e-23
9.597662e-08   	-3.63742048e-20	4.85144495e-23
1.0297671e-07  	-2.89386734e-20	3.95642006e-23
1.0977607e-07  	-3.72076746e-20	4.62839223e-23
1.1643179e-07  	-3.58937365e-20	5.00116802e-23
1.2294933e-07  	-3.40110221e-20	4.57489797e-23
1.2937758e-07  	-3.11197900e-20	4.54867907e-23
1.3574024e-07  	-2.86786231e-20	4.35966038e-23
1.4203842e-07  	-2.91097377e-20	4.99961256e-23
1.4831532e-07  	-4.22514984e-20	5.77375510e-23
1.5454995e-07  	-4.27929618e-20	6.08948296e-23
1.6076358e-07  	-3.66978223e-20	5.26247472e-23
1.669563e-07   	-4.01040458e-20	5.62480848e-23
1.7312816e-07  	-4.68635254e-20	6.12438316e-23
1.7927925e-07  	-4.57967694e-20	6.26569944e-23
1.8540962e-07  	-4.25736625e-20	6.15375422e-23
1.9151935e-07  	-4.39216056e-20	6.31253609e-23
1.9762908e-07  	-3.78670431e-20	5.04094553e-23
2.0371817e-07  	-3.09523353e-20	4.36274000e-23
2.0978669e-07  	-3.25969793e-20	4.59501818e-23
2.1583471e-07  	-3.02936178e-20	4.44344201e-23
2.2188273e-07  	-2.14092995e-20	2.98160342e-23
2.2791024e-07  	-1.92106879e-20	3.15474113e-23
2.3393776e-07  	-2.86977466e-20	3.87408063e-23
2.3994478e-07  	-3.43139510e-20	4.82564355e-23
2.4595179e-07  	-3.66544936e-20	5.07046776e-23
2.519383e-07   	-3.45774795e-20	4.76974152e-23
2.5792481e-07  	-3.76673410e-20	5.30868260e-23
2.6391133e-07  	-3.59884585e-20	4.74438460e-23
2.6989784e-07  	-3.09141013e-20	4.23299780e-23
2.7586371e-07  	-2.65405912e-20	3.23005299e-23
2.8182958e-07  	-1.61020654e-20	2.33281748e-23
2.877543e-07   	-1.44728849e-20	2.10323926e-23
2.936586e-07   	-1.30127904e-20	2.00257767e-23
2.9952232e-07  	-1.29893249e-20	1.96780660e-23
3.0534587e-07  	-1.08658413e-20	1.33311595e-23
3.1114948e-07  	-3.43683839e-21	5.62070936e-24
3.1691348e-07  	2.92216736e-21	1.85215227e-24
3.226578e-07   	7.16674864e-21	-1.43928224e-23
3.2836304e-07  	8.42505393e-21	-1.27717008e-23
3.3404888e-07  	1.67098743e-20	-2.30334622e-23
3.3971538e-07  	1.92725230e-20	-2.65894268e-23
3.4536261e-07  	2.20059367e-20	-2.74579116e-23
3.5099063e-07  	2.52704662e-20	-3.22167721e-23
3.5661865e-07  	2.69681854e-20	-3.43739218e-23
3.6222746e-07  	2.48558733e-20	-3.63128750e-23
3.6781712e-07  	2.59288697e-20	-3.60686563e-23
3.7340679e-07  	3.10272626e-20	-4.20170626e-23
3.7897732e-07  	2.53798382e-20	-3.73200641e-23
3.8454784e-07  	2.29227188e-20	-3.67887178e-23
3.9011837e-07  	2.87311322e-20	-3.81617231e-23
3.9566968e-07  	3.19599785e-20	-5.03573823e-23
4.01221e-07    	4.70370366e-20	-7.24961243e-23
4.0677231e-07  	5.64743297e-20	-8.16994357e-23
4.1232363e-07  	6.29654216e-20	-8.94074008e-23
4.1787495e-07  	6.56628878e-20	-9.72375743e-23
4.2342626e-07  	6.68605423e-20	-9.48299483e-23
4.2897758e-07  	7.15356718e-20	-1.03835751e-22
4.3452889e-07  	6.96103608e-20	-9.59712455e-23
4.4008021e-07  	6.50951705e-20	-9.36981015e-23
4.4563153e-07  	6.32861142e-20	-8.69395502e-23
4.5118284e-07  	6.41350859e-20	-8.92145864e-23
4.5673416e-07  	6.30966822e-20	-8.83127236e-23
4.6228547e-07  	6.66254978e-20	-9.90310144e-23
4.6783679e-07  	7.79403824e-20	-1.05829122e-22
4.7340829e-07  	7.55952872e-20	-1.06714465e-22
4.7897979e-07  	8.39684092e-20	-1.21570495e-22
4.845513e-07   	9.64960080e-20	-1.33042182e-22
4.901228e-07   	1.09245270e-19	-1.53529995e-22
4.956943e-07   	1.21002706e-19	-1.64114848e-22
5.0126581e-07  	1.35147740e-19	-1.91931955e-22
5.0683731e-07  	1.50852643e-19	-2.08483498e-22
5.1240881e-07  	1.68011244e-19	-2.40446631e-22
5.1798031e-07  	1.88583756e-19	-2.59394072e-22
5.2355182e-07  	2.04138401e-19	-2.90421554e-22
5.2912332e-07  	2.22085603e-19	-3.14200971e-22
5.3469482e-07  	2.42833075e-19	-3.34802169e-22
5.4026632e-07  	2.55088245e-19	-3.61563924e-22
5.4583783e-07  	2.80690939e-19	-3.90679461e-22
5.5140933e-07  	2.99226445e-19	-4.21884967e-22
5.5698083e-07  	3.23411026e-19	-4.51546565e-22
5.6255233e-07  	3.44632380e-19	-4.83716788e-22
5.6812384e-07  	3.65215102e-19	-5.11625471e-22
5.7369534e-07  	3.89427336e-19	-5.40382575e-22
5.7926684e-07  	4.04519503e-19	-5.71604937e-22
5.8483834e-07  	4.27767899e-19	-5.96755550e-22
5.9040985e-07  	4.47203355e-19	-6.25142112e-22
5.9595941e-07  	4.66601511e-19	-6.56674181e-22
6.0150898e-07  	4.86705966e-19	-6.79664262e-22
6.0705855e-07  	5.03726403e-19	-7.02383757e-22
6.1260812e-07  	5.14626884e-19	-7.22451585e-22
6.1815768e-07  	5.23274715e-19	-7.30909759e-22
6.2368505e-07  	5.22724427e-19	-7.29834191e-22
6.2921242e-07  	5.09886706e-19	-7.11379326e-22
6.3473979e-07  	4.90490710e-19	-6.83126218e-22
6.4026716e-07  	4.68972777e-19	-6.59919433e-22
6.4577215e-07  	4.54630206e-19	-6.30600142e-22
6.5127714e-07  	4.29518000e-19	-6.01958602e-22
6.5678213e-07  	4.07707801e-19	-5.69814124e-22
6.6228713e-07  	3.83433841e-19	-5.38634714e-22
6.6779212e-07  	3.58078200e-19	-4.99789459e-22
6.7327445e-07  	3.32841194e-19	-4.66539669e-22
6.7875679e-07  	3.09550191e-19	-4.35206855e-22
6.8423913e-07  	2.84889455e-19	-3.96303877e-22
6.8972147e-07  	2.55817789e-19	-3.58405211e-22
6.9518096e-07  	2.25159649e-19	-3.16236144e-22
7.0064045e-07  	1.96723370e-19	-2.75863749e-22
7.0609995e-07  	1.64514472e-19	-2.29615971e-22
7.1155944e-07  	1.27700773e-19	-1.77121175e-22
7.169959e-07   	8.58195040e-20	-1.21404445e-22
7.2243236e-07  	4.81350825e-20	-6.88445953e-23
7.2786881e-07  	1.04037917e-20	-1.58444948e-23
7.3330527e-07  	-2.38593430e-20	3.55904866e-23
7.3874173e-07  	-6.27929156e-20	8.83792111e-23
7.4415486e-07  	-1.02903510e-19	1.47232192e-22
7.4956798e-07  	-1.54098510e-19	2.17371502e-22
7.5498111e-07  	-2.11119144e-19	2.98938692e-22
7.6039423e-07  	-2.68347988e-19	3.81337014e-22
7.6580736e-07  	-3.35229110e-19	4.73438238e-22
7.7119685e-07  	-3.97619409e-19	5.56261916e-22
7.7658633e-07  	-4.63234068e-19	6.52883180e-22
7.8197582e-07  	-5.39438514e-19	7.58713964e-22
7.8736531e-07  	-6.19121154e-19	8.69383427e-22
7.927548e-07   	-7.01904227e-19	9.88262034e-22
7.9814428e-07  	-7.88664673e-19	1.10594235e-21
8.0353377e-07  	-8.81096122e-19	1.23434212e-21
8.0889909e-07  	-9.77328343e-19	1.36966012e-21
8.1426441e-07  	-1.07178425e-18	1.50252212e-21
8.1962973e-07  	-1.17038259e-18	1.63907439e-21
8.2499505e-07  	-1.26952444e-18	1.77810627e-21
8.3036037e-07  	-1.36743457e-18	1.91094854e-21
8.3572569e-07  	-1.46159753e-18	2.04416907e-21
8.4109101e-07  	-1.54862230e-18	2.16590896e-21
8.4645633e-07  	-1.63222156e-18	2.28390827e-21
8.5182165e-07  	-1.71811737e-18	2.40545435e-21
8.5718697e-07  	-1.79809331e-18	2.51693384e-21
8.6255229e-07  	-1.87934295e-18	2.63041994e-21
8.6789242e-07  	-1.95593849e-18	2.73838574e-21
8.7323255e-07  	-2.03025571e-18	2.84484806e-21
8.7857268e-07  	-2.10176386e-18	2.93974161e-21
8.8391281e-07  	-2.16720012e-18	3.03398636e-21
8.8925294e-07  	-2.23242208e-18	3.12413196e-21
8.9459307e-07  	-2.29551542e-18	3.21648735e-21
8.999332e-07   	-2.36024904e-18	3.30448475e-21
9.0527333e-07  	-2.42131182e-18	3.39076787e-21
9.1061346e-07  	-2.48424652e-18	3.48054929e-21
9.1595359e-07  	-2.55413796e-18	3.57673513e-21
9.2129372e-07  	-2.62352096e-18	3.67616031e-21
9.2663385e-07  	-2.69645416e-18	3.77757037e-21
9.3197398e-07  	-2.77279548e-18	3.88520188e-21
9.3731411e-07  	-2.85471573e-18	4.00059107e-21
9.4265424e-07  	-2.93840048e-18	4.11789367e-21
9.4799437e-07  	-3.02996962e-18	4.24544510e-21
