# Region type : faceZone nozzleOutletZone
# Faces  :     3013
# Area   :     6.30029605e-09
# Time         	sum(rhoPhi)	sum(phi)
1.0000186e-05  	-2.64248606e-03	3.69401512e-06
1.0000372e-05  	-2.64253011e-03	3.69407183e-06
1.0000557e-05  	-2.64257133e-03	3.69412885e-06
1.0000743e-05  	-2.64261278e-03	3.69418633e-06
1.0000929e-05  	-2.64265452e-03	3.69424428e-06
1.0001115e-05  	-2.64269652e-03	3.69430270e-06
1.0001301e-05  	-2.64273878e-03	3.69436152e-06
1.0001486e-05  	-2.64278129e-03	3.69442081e-06
1.0001672e-05  	-2.64282407e-03	3.69448052e-06
1.0001858e-05  	-2.64286706e-03	3.69454067e-06
1.0002044e-05  	-2.64291035e-03	3.69460124e-06
1.000223e-05   	-2.64295392e-03	3.69466226e-06
1.0002416e-05  	-2.64299776e-03	3.69472370e-06
1.0002601e-05  	-2.64304187e-03	3.69478555e-06
1.0002787e-05  	-2.64308624e-03	3.69484781e-06
1.0002973e-05  	-2.64313087e-03	3.69491046e-06
1.0003159e-05  	-2.64317575e-03	3.69497347e-06
1.0003345e-05  	-2.64322088e-03	3.69503680e-06
1.0003531e-05  	-2.64326634e-03	3.69510050e-06
1.0003716e-05  	-2.64331230e-03	3.69516456e-06
1.0003902e-05  	-2.64335846e-03	3.69522896e-06
1.0004088e-05  	-2.64340474e-03	3.69529374e-06
1.0004274e-05  	-2.64345129e-03	3.69535889e-06
1.000446e-05   	-2.64349813e-03	3.69542437e-06
1.0004646e-05  	-2.64354525e-03	3.69549017e-06
1.0004831e-05  	-2.64359267e-03	3.69555636e-06
1.0005017e-05  	-2.64364040e-03	3.69562296e-06
1.0005203e-05  	-2.64368839e-03	3.69568990e-06
1.0005389e-05  	-2.64373667e-03	3.69575719e-06
1.0005575e-05  	-2.64378523e-03	3.69582480e-06
1.0005761e-05  	-2.64383404e-03	3.69589271e-06
1.0005947e-05  	-2.64388312e-03	3.69596092e-06
1.0006132e-05  	-2.64393246e-03	3.69602941e-06
1.0006318e-05  	-2.64398204e-03	3.69609815e-06
1.0006504e-05  	-2.64403188e-03	3.69616716e-06
1.000669e-05   	-2.64408197e-03	3.69623641e-06
1.0006876e-05  	-2.64413231e-03	3.69630586e-06
1.0007062e-05  	-2.64418287e-03	3.69637552e-06
1.0007248e-05  	-2.64423367e-03	3.69644537e-06
1.0007433e-05  	-2.64428468e-03	3.69651539e-06
1.0007619e-05  	-2.64433591e-03	3.69658562e-06
1.0007805e-05  	-2.64438738e-03	3.69665608e-06
1.0007991e-05  	-2.64443914e-03	3.69672672e-06
1.0008177e-05  	-2.64449129e-03	3.69679719e-06
1.0008363e-05  	-2.64454364e-03	3.69686748e-06
1.0008549e-05  	-2.64459611e-03	3.69693806e-06
1.0008735e-05  	-2.64464878e-03	3.69700888e-06
1.0008921e-05  	-2.64470173e-03	3.69708000e-06
1.0009107e-05  	-2.64475492e-03	3.69715139e-06
1.0009292e-05  	-2.64480831e-03	3.69722301e-06
1.0009478e-05  	-2.64486191e-03	3.69729488e-06
1.0009664e-05  	-2.64491575e-03	3.69736698e-06
1.000985e-05   	-2.64496974e-03	3.69743933e-06
1.0010036e-05  	-2.64502397e-03	3.69751191e-06
1.0010222e-05  	-2.64507841e-03	3.69758473e-06
1.0010408e-05  	-2.64513306e-03	3.69765780e-06
1.0010594e-05  	-2.64518795e-03	3.69773129e-06
1.001078e-05   	-2.64524302e-03	3.69780499e-06
1.0010966e-05  	-2.64529826e-03	3.69787890e-06
1.0011152e-05  	-2.64535369e-03	3.69795304e-06
1.0011338e-05  	-2.64540928e-03	3.69802738e-06
1.0011524e-05  	-2.64546506e-03	3.69810195e-06
1.001171e-05   	-2.64552103e-03	3.69817685e-06
1.0011895e-05  	-2.64557719e-03	3.69825201e-06
1.0012081e-05  	-2.64563353e-03	3.69832744e-06
1.0012267e-05  	-2.64569008e-03	3.69840315e-06
1.0012453e-05  	-2.64574682e-03	3.69847914e-06
1.0012639e-05  	-2.64580379e-03	3.69855542e-06
1.0012825e-05  	-2.64586097e-03	3.69863199e-06
1.0013011e-05  	-2.64591835e-03	3.69870886e-06
1.0013197e-05  	-2.64597594e-03	3.69878603e-06
1.0013383e-05  	-2.64603375e-03	3.69886348e-06
1.0013569e-05  	-2.64609178e-03	3.69894123e-06
1.0013755e-05  	-2.64615003e-03	3.69901929e-06
1.0013941e-05  	-2.64620850e-03	3.69909757e-06
1.0014127e-05  	-2.64626718e-03	3.69917607e-06
1.0014313e-05  	-2.64632614e-03	3.69925481e-06
1.0014499e-05  	-2.64638554e-03	3.69933382e-06
1.0014685e-05  	-2.64644522e-03	3.69941308e-06
1.0014871e-05  	-2.64650514e-03	3.69949261e-06
1.0015057e-05  	-2.64656528e-03	3.69957239e-06
1.0015243e-05  	-2.64662565e-03	3.69965243e-06
1.0015429e-05  	-2.64668626e-03	3.69973274e-06
1.0015615e-05  	-2.64674711e-03	3.69981332e-06
1.0015801e-05  	-2.64680821e-03	3.69989418e-06
1.0015987e-05  	-2.64686954e-03	3.69997534e-06
1.0016173e-05  	-2.64693113e-03	3.70005681e-06
1.0016359e-05  	-2.64699293e-03	3.70013856e-06
1.0016545e-05  	-2.64705497e-03	3.70022062e-06
1.0016731e-05  	-2.64711725e-03	3.70030298e-06
1.0016917e-05  	-2.64717976e-03	3.70038566e-06
1.0017103e-05  	-2.64724251e-03	3.70046866e-06
1.0017289e-05  	-2.64730550e-03	3.70055200e-06
1.0017475e-05  	-2.64736876e-03	3.70063568e-06
1.0017661e-05  	-2.64743208e-03	3.70071970e-06
1.0017847e-05  	-2.64749576e-03	3.70080408e-06
1.0018033e-05  	-2.64755979e-03	3.70088883e-06
1.0018219e-05  	-2.64762410e-03	3.70097396e-06
1.0018405e-05  	-2.64768870e-03	3.70105944e-06
1.0018591e-05  	-2.64775362e-03	3.70114534e-06
1.0018777e-05  	-2.64781884e-03	3.70123173e-06
1.0018963e-05  	-2.64788435e-03	3.70131852e-06
1.0019149e-05  	-2.64795016e-03	3.70140572e-06
1.0019335e-05  	-2.64801627e-03	3.70149334e-06
1.0019521e-05  	-2.64808270e-03	3.70158139e-06
1.0019708e-05  	-2.64814943e-03	3.70166985e-06
1.0019894e-05  	-2.64821647e-03	3.70175877e-06
1.002008e-05   	-2.64828383e-03	3.70184814e-06
1.0020266e-05  	-2.64835150e-03	3.70193795e-06
1.0020452e-05  	-2.64841949e-03	3.70202818e-06
1.0020638e-05  	-2.64848781e-03	3.70211887e-06
1.0020824e-05  	-2.64855646e-03	3.70221009e-06
1.002101e-05   	-2.64862547e-03	3.70230184e-06
1.0021196e-05  	-2.64869489e-03	3.70239408e-06
1.0021382e-05  	-2.64876471e-03	3.70248686e-06
1.0021568e-05  	-2.64883488e-03	3.70258018e-06
1.0021754e-05  	-2.64890553e-03	3.70267440e-06
1.002194e-05   	-2.64897659e-03	3.70276925e-06
1.0022127e-05  	-2.64904806e-03	3.70286476e-06
1.0022313e-05  	-2.64911994e-03	3.70296093e-06
1.0022499e-05  	-2.64919223e-03	3.70305778e-06
1.0022685e-05  	-2.64926496e-03	3.70315535e-06
1.0022871e-05  	-2.64933810e-03	3.70325359e-06
1.0023057e-05  	-2.64941163e-03	3.70335250e-06
1.0023243e-05  	-2.64948556e-03	3.70345209e-06
1.0023429e-05  	-2.64955991e-03	3.70355232e-06
1.0023615e-05  	-2.64963464e-03	3.70365324e-06
1.0023801e-05  	-2.64970980e-03	3.70375481e-06
1.0023988e-05  	-2.64978536e-03	3.70385702e-06
1.0024174e-05  	-2.64986131e-03	3.70395983e-06
1.002436e-05   	-2.64993765e-03	3.70406321e-06
1.0024546e-05  	-2.65001436e-03	3.70416713e-06
1.0024732e-05  	-2.65009143e-03	3.70427157e-06
1.0024918e-05  	-2.65016886e-03	3.70437655e-06
1.0025104e-05  	-2.65024664e-03	3.70448204e-06
1.002529e-05   	-2.65032476e-03	3.70458795e-06
1.0025477e-05  	-2.65040320e-03	3.70469427e-06
1.0025663e-05  	-2.65048198e-03	3.70480101e-06
1.0025849e-05  	-2.65056108e-03	3.70490809e-06
1.0026035e-05  	-2.65064049e-03	3.70501550e-06
1.0026221e-05  	-2.65072021e-03	3.70512327e-06
1.0026407e-05  	-2.65080025e-03	3.70523141e-06
1.0026593e-05  	-2.65088062e-03	3.70533987e-06
1.002678e-05   	-2.65096133e-03	3.70544871e-06
1.0026966e-05  	-2.65104235e-03	3.70555791e-06
1.0027152e-05  	-2.65112368e-03	3.70566745e-06
1.0027338e-05  	-2.65120533e-03	3.70577728e-06
1.0027524e-05  	-2.65128731e-03	3.70588746e-06
1.002771e-05   	-2.65136963e-03	3.70599798e-06
1.0027897e-05  	-2.65145230e-03	3.70610885e-06
1.0028083e-05  	-2.65153532e-03	3.70622010e-06
1.0028269e-05  	-2.65161872e-03	3.70633172e-06
1.0028455e-05  	-2.65170249e-03	3.70644373e-06
1.0028641e-05  	-2.65178685e-03	3.70655614e-06
1.0028827e-05  	-2.65187182e-03	3.70666894e-06
1.0029014e-05  	-2.65195722e-03	3.70678214e-06
1.00292e-05    	-2.65204300e-03	3.70689575e-06
1.0029386e-05  	-2.65212917e-03	3.70700975e-06
1.0029572e-05  	-2.65221571e-03	3.70712413e-06
1.0029758e-05  	-2.65230263e-03	3.70723890e-06
1.0029945e-05  	-2.65238992e-03	3.70735407e-06
1.0030131e-05  	-2.65247789e-03	3.70746965e-06
1.0030317e-05  	-2.65256651e-03	3.70758569e-06
1.0030503e-05  	-2.65265555e-03	3.70770212e-06
1.0030689e-05  	-2.65274501e-03	3.70781900e-06
1.0030876e-05  	-2.65283482e-03	3.70793628e-06
1.0031062e-05  	-2.65292507e-03	3.70805404e-06
1.0031248e-05  	-2.65301569e-03	3.70817222e-06
1.0031434e-05  	-2.65310674e-03	3.70829089e-06
1.003162e-05   	-2.65319817e-03	3.70840999e-06
1.0031807e-05  	-2.65329004e-03	3.70852958e-06
1.0031993e-05  	-2.65338230e-03	3.70864961e-06
1.0032179e-05  	-2.65347500e-03	3.70877018e-06
1.0032365e-05  	-2.65356813e-03	3.70889125e-06
1.0032552e-05  	-2.65366170e-03	3.70901285e-06
1.0032738e-05  	-2.65375571e-03	3.70913495e-06
1.0032924e-05  	-2.65385016e-03	3.70925760e-06
1.003311e-05   	-2.65394506e-03	3.70938075e-06
1.0033297e-05  	-2.65404040e-03	3.70950444e-06
1.0033483e-05  	-2.65413617e-03	3.70962865e-06
1.0033669e-05  	-2.65423236e-03	3.70975338e-06
1.0033855e-05  	-2.65432897e-03	3.70987865e-06
1.0034042e-05  	-2.65442601e-03	3.71000443e-06
1.0034228e-05  	-2.65452346e-03	3.71013074e-06
1.0034414e-05  	-2.65462130e-03	3.71025752e-06
1.0034601e-05  	-2.65471954e-03	3.71038480e-06
1.0034787e-05  	-2.65481817e-03	3.71051257e-06
1.0034973e-05  	-2.65491721e-03	3.71064084e-06
1.0035159e-05  	-2.65501663e-03	3.71076957e-06
1.0035346e-05  	-2.65511646e-03	3.71089879e-06
1.0035532e-05  	-2.65521667e-03	3.71102844e-06
1.0035718e-05  	-2.65531753e-03	3.71115872e-06
1.0035905e-05  	-2.65541884e-03	3.71128987e-06
1.0036091e-05  	-2.65552061e-03	3.71142158e-06
1.0036277e-05  	-2.65562282e-03	3.71155386e-06
1.0036464e-05  	-2.65572552e-03	3.71168681e-06
1.003665e-05   	-2.65582868e-03	3.71182040e-06
1.0036836e-05  	-2.65593231e-03	3.71195460e-06
1.0037023e-05  	-2.65603641e-03	3.71208946e-06
1.0037209e-05  	-2.65614098e-03	3.71222494e-06
1.0037395e-05  	-2.65624604e-03	3.71236110e-06
1.0037582e-05  	-2.65635156e-03	3.71249791e-06
1.0037768e-05  	-2.65645754e-03	3.71263533e-06
1.0037954e-05  	-2.65656399e-03	3.71277344e-06
1.0038141e-05  	-2.65667090e-03	3.71291220e-06
1.0038327e-05  	-2.65677830e-03	3.71305165e-06
1.0038513e-05  	-2.65688615e-03	3.71319176e-06
1.00387e-05    	-2.65699448e-03	3.71333252e-06
1.0038886e-05  	-2.65710329e-03	3.71347396e-06
1.0039073e-05  	-2.65721258e-03	3.71361605e-06
1.0039259e-05  	-2.65732236e-03	3.71375884e-06
1.0039445e-05  	-2.65743262e-03	3.71390233e-06
1.0039632e-05  	-2.65754337e-03	3.71404651e-06
1.0039818e-05  	-2.65765463e-03	3.71419143e-06
1.0040005e-05  	-2.65776637e-03	3.71433708e-06
1.0040191e-05  	-2.65787863e-03	3.71448343e-06
1.0040377e-05  	-2.65799139e-03	3.71463050e-06
1.0040564e-05  	-2.65810466e-03	3.71477831e-06
1.004075e-05   	-2.65821845e-03	3.71492682e-06
1.0040937e-05  	-2.65833279e-03	3.71507607e-06
1.0041123e-05  	-2.65844765e-03	3.71522606e-06
1.0041309e-05  	-2.65856304e-03	3.71537676e-06
1.0041496e-05  	-2.65867895e-03	3.71552822e-06
1.0041682e-05  	-2.65879540e-03	3.71568045e-06
1.0041869e-05  	-2.65891236e-03	3.71583340e-06
1.0042055e-05  	-2.65902985e-03	3.71598711e-06
1.0042242e-05  	-2.65914786e-03	3.71614160e-06
1.0042428e-05  	-2.65926640e-03	3.71629684e-06
1.0042615e-05  	-2.65938548e-03	3.71645286e-06
1.0042801e-05  	-2.65950507e-03	3.71660966e-06
1.0042988e-05  	-2.65962516e-03	3.71676717e-06
1.0043174e-05  	-2.65974577e-03	3.71692543e-06
1.0043361e-05  	-2.65986690e-03	3.71708447e-06
1.0043547e-05  	-2.65998854e-03	3.71724423e-06
1.0043734e-05  	-2.66011070e-03	3.71740474e-06
1.004392e-05   	-2.66023337e-03	3.71756601e-06
1.0044107e-05  	-2.66035657e-03	3.71772801e-06
1.0044293e-05  	-2.66048030e-03	3.71789077e-06
1.004448e-05   	-2.66060455e-03	3.71805430e-06
1.0044666e-05  	-2.66072934e-03	3.71821857e-06
1.0044853e-05  	-2.66085466e-03	3.71838361e-06
1.0045039e-05  	-2.66098051e-03	3.71854939e-06
1.0045226e-05  	-2.66110688e-03	3.71871589e-06
1.0045412e-05  	-2.66123377e-03	3.71888315e-06
1.0045599e-05  	-2.66136116e-03	3.71905113e-06
1.0045785e-05  	-2.66148912e-03	3.71921979e-06
