# Region type : faceZone nozzleOutletZone
# Faces  :     3013
# Area   :     6.30029605e-09
# Time         	sum(rhoPhi)	sum(phi)
2.2000203e-05  	-2.40933738e-03	3.37239420e-06
2.2000405e-05  	-2.40936074e-03	3.37242630e-06
2.2000608e-05  	-2.40938036e-03	3.37245779e-06
2.2000811e-05  	-2.40939991e-03	3.37248973e-06
2.2001014e-05  	-2.40941939e-03	3.37252107e-06
2.2001216e-05  	-2.40943885e-03	3.37255296e-06
2.2001419e-05  	-2.40945836e-03	3.37258428e-06
2.2001622e-05  	-2.40947786e-03	3.37261624e-06
2.2001825e-05  	-2.40949727e-03	3.37264764e-06
2.2002027e-05  	-2.40951672e-03	3.37267964e-06
2.200223e-05   	-2.40953625e-03	3.37271109e-06
2.2002433e-05  	-2.40955579e-03	3.37274320e-06
2.2002636e-05  	-2.40957526e-03	3.37277476e-06
2.2002838e-05  	-2.40959476e-03	3.37280689e-06
2.2003041e-05  	-2.40961437e-03	3.37283851e-06
2.2003244e-05  	-2.40963407e-03	3.37287070e-06
2.2003447e-05  	-2.40965396e-03	3.37290240e-06
2.2003649e-05  	-2.40967364e-03	3.37293460e-06
2.2003852e-05  	-2.40969332e-03	3.37296631e-06
2.2004055e-05  	-2.40971312e-03	3.37299848e-06
2.2004257e-05  	-2.40973288e-03	3.37303020e-06
2.200446e-05   	-2.40975259e-03	3.37306238e-06
2.2004663e-05  	-2.40977230e-03	3.37309409e-06
2.2004866e-05  	-2.40979202e-03	3.37312624e-06
2.2005068e-05  	-2.40981180e-03	3.37315793e-06
2.2005271e-05  	-2.40983157e-03	3.37319009e-06
2.2005474e-05  	-2.40985134e-03	3.37322180e-06
2.2005677e-05  	-2.40987104e-03	3.37325395e-06
2.2005879e-05  	-2.40989072e-03	3.37328560e-06
2.2006082e-05  	-2.40991039e-03	3.37331767e-06
2.2006285e-05  	-2.40993002e-03	3.37334924e-06
2.2006488e-05  	-2.40994961e-03	3.37338118e-06
2.200669e-05   	-2.40996921e-03	3.37341260e-06
2.2006893e-05  	-2.40998873e-03	3.37344437e-06
2.2007096e-05  	-2.41000812e-03	3.37347566e-06
2.2007299e-05  	-2.41002751e-03	3.37350724e-06
2.2007501e-05  	-2.41004683e-03	3.37353834e-06
2.2007704e-05  	-2.41006610e-03	3.37356967e-06
2.2007907e-05  	-2.41008532e-03	3.37360060e-06
2.200811e-05   	-2.41010449e-03	3.37363163e-06
2.2008312e-05  	-2.41012364e-03	3.37366245e-06
2.2008515e-05  	-2.41014278e-03	3.37369319e-06
2.2008718e-05  	-2.41016188e-03	3.37372381e-06
2.2008921e-05  	-2.41018098e-03	3.37375428e-06
2.2009123e-05  	-2.41020018e-03	3.37378463e-06
2.2009326e-05  	-2.41021938e-03	3.37381489e-06
2.2009529e-05  	-2.41023848e-03	3.37384504e-06
2.2009732e-05  	-2.41025758e-03	3.37387522e-06
2.2009934e-05  	-2.41027665e-03	3.37390521e-06
2.2010137e-05  	-2.41029569e-03	3.37393523e-06
2.201034e-05   	-2.41031470e-03	3.37396498e-06
2.2010543e-05  	-2.41033367e-03	3.37399483e-06
2.2010745e-05  	-2.41035260e-03	3.37402434e-06
2.2010948e-05  	-2.41037148e-03	3.37405402e-06
2.2011151e-05  	-2.41039031e-03	3.37408325e-06
2.2011354e-05  	-2.41040910e-03	3.37411274e-06
2.2011556e-05  	-2.41042784e-03	3.37414174e-06
2.2011759e-05  	-2.41044650e-03	3.37417100e-06
2.2011962e-05  	-2.41046545e-03	3.37419977e-06
2.2012165e-05  	-2.41048409e-03	3.37422877e-06
2.2012368e-05  	-2.41050256e-03	3.37425730e-06
2.201257e-05   	-2.41052133e-03	3.37428610e-06
2.2012773e-05  	-2.41053981e-03	3.37431447e-06
2.2012976e-05  	-2.41055816e-03	3.37434308e-06
2.2013179e-05  	-2.41057680e-03	3.37437130e-06
2.2013381e-05  	-2.41059518e-03	3.37439973e-06
2.2013584e-05  	-2.41061344e-03	3.37442779e-06
2.2013787e-05  	-2.41063204e-03	3.37445608e-06
2.201399e-05   	-2.41065041e-03	3.37448406e-06
2.2014192e-05  	-2.41066905e-03	3.37451230e-06
2.2014395e-05  	-2.41068746e-03	3.37454024e-06
2.2014598e-05  	-2.41070600e-03	3.37456838e-06
2.2014801e-05  	-2.41072428e-03	3.37459626e-06
2.2015004e-05  	-2.41074277e-03	3.37462429e-06
2.2015206e-05  	-2.41076129e-03	3.37465211e-06
2.2015409e-05  	-2.41077981e-03	3.37468005e-06
2.2015612e-05  	-2.41079834e-03	3.37470778e-06
2.2015815e-05  	-2.41081690e-03	3.37473560e-06
2.2016017e-05  	-2.41083570e-03	3.37476324e-06
2.201622e-05   	-2.41085454e-03	3.37479088e-06
2.2016423e-05  	-2.41087333e-03	3.37481835e-06
2.2016626e-05  	-2.41089208e-03	3.37484576e-06
2.2016829e-05  	-2.41091079e-03	3.37487308e-06
2.2017031e-05  	-2.41092949e-03	3.37490034e-06
2.2017234e-05  	-2.41094818e-03	3.37492754e-06
2.2017437e-05  	-2.41096686e-03	3.37495467e-06
2.201764e-05   	-2.41098551e-03	3.37498172e-06
2.2017842e-05  	-2.41100413e-03	3.37500868e-06
2.2018045e-05  	-2.41102270e-03	3.37503550e-06
2.2018248e-05  	-2.41104122e-03	3.37506219e-06
2.2018451e-05  	-2.41105981e-03	3.37508879e-06
2.2018654e-05  	-2.41107872e-03	3.37511532e-06
2.2018856e-05  	-2.41109771e-03	3.37514177e-06
2.2019059e-05  	-2.41111668e-03	3.37516814e-06
2.2019262e-05  	-2.41113565e-03	3.37519444e-06
2.2019465e-05  	-2.41115462e-03	3.37522067e-06
2.2019667e-05  	-2.41117358e-03	3.37524685e-06
2.201987e-05   	-2.41119253e-03	3.37527295e-06
2.2020073e-05  	-2.41121190e-03	3.37529906e-06
2.2020276e-05  	-2.41123149e-03	3.37532520e-06
2.2020479e-05  	-2.41125065e-03	3.37535132e-06
2.2020681e-05  	-2.41127010e-03	3.37537746e-06
2.2020884e-05  	-2.41128981e-03	3.37540363e-06
2.2021087e-05  	-2.41130951e-03	3.37542982e-06
2.202129e-05   	-2.41132921e-03	3.37545599e-06
2.2021492e-05  	-2.41134892e-03	3.37548214e-06
2.2021695e-05  	-2.41136819e-03	3.37550820e-06
2.2021898e-05  	-2.41138797e-03	3.37553426e-06
2.2022101e-05  	-2.41140780e-03	3.37556028e-06
2.2022304e-05  	-2.41142756e-03	3.37558626e-06
2.2022506e-05  	-2.41144727e-03	3.37561219e-06
2.2022709e-05  	-2.41146694e-03	3.37563807e-06
2.2022912e-05  	-2.41148657e-03	3.37566389e-06
2.2023115e-05  	-2.41150617e-03	3.37568965e-06
2.2023318e-05  	-2.41152579e-03	3.37571535e-06
2.202352e-05   	-2.41154536e-03	3.37574098e-06
2.2023723e-05  	-2.41156489e-03	3.37576655e-06
2.2023926e-05  	-2.41158439e-03	3.37579206e-06
2.2024129e-05  	-2.41160386e-03	3.37581755e-06
2.2024332e-05  	-2.41162330e-03	3.37584296e-06
2.2024534e-05  	-2.41164270e-03	3.37586832e-06
2.2024737e-05  	-2.41166209e-03	3.37589365e-06
2.202494e-05   	-2.41168144e-03	3.37591890e-06
2.2025143e-05  	-2.41170078e-03	3.37594413e-06
2.2025346e-05  	-2.41172011e-03	3.37596934e-06
2.2025548e-05  	-2.41173946e-03	3.37599457e-06
2.2025751e-05  	-2.41175882e-03	3.37601982e-06
2.2025954e-05  	-2.41177818e-03	3.37604507e-06
2.2026157e-05  	-2.41179754e-03	3.37607033e-06
2.202636e-05   	-2.41181689e-03	3.37609557e-06
2.2026562e-05  	-2.41183624e-03	3.37612080e-06
2.2026765e-05  	-2.41185558e-03	3.37614601e-06
2.2026968e-05  	-2.41187490e-03	3.37617119e-06
2.2027171e-05  	-2.41189423e-03	3.37619636e-06
2.2027373e-05  	-2.41191355e-03	3.37622151e-06
2.2027576e-05  	-2.41193287e-03	3.37624665e-06
2.2027779e-05  	-2.41195219e-03	3.37627177e-06
2.2027982e-05  	-2.41197150e-03	3.37629690e-06
2.2028185e-05  	-2.41199083e-03	3.37632202e-06
2.2028387e-05  	-2.41201016e-03	3.37634714e-06
2.202859e-05   	-2.41202950e-03	3.37637225e-06
2.2028793e-05  	-2.41204884e-03	3.37639736e-06
2.2028996e-05  	-2.41206819e-03	3.37642244e-06
2.2029198e-05  	-2.41208753e-03	3.37644750e-06
2.2029401e-05  	-2.41210686e-03	3.37647255e-06
2.2029604e-05  	-2.41212621e-03	3.37649760e-06
2.2029807e-05  	-2.41214556e-03	3.37652265e-06
2.2030009e-05  	-2.41216492e-03	3.37654774e-06
2.2030212e-05  	-2.41218433e-03	3.37657285e-06
2.2030415e-05  	-2.41220378e-03	3.37659799e-06
2.2030618e-05  	-2.41222326e-03	3.37662316e-06
2.203082e-05   	-2.41224279e-03	3.37664839e-06
2.2031023e-05  	-2.41226238e-03	3.37667366e-06
2.2031226e-05  	-2.41228200e-03	3.37669899e-06
2.2031428e-05  	-2.41230164e-03	3.37672433e-06
2.2031631e-05  	-2.41232130e-03	3.37674970e-06
2.2031834e-05  	-2.41234099e-03	3.37677510e-06
2.2032037e-05  	-2.41236071e-03	3.37680056e-06
2.2032239e-05  	-2.41238045e-03	3.37682605e-06
2.2032442e-05  	-2.41240022e-03	3.37685157e-06
2.2032645e-05  	-2.41242000e-03	3.37687711e-06
2.2032847e-05  	-2.41243978e-03	3.37690267e-06
2.203305e-05   	-2.41245957e-03	3.37692822e-06
2.2033253e-05  	-2.41247935e-03	3.37695377e-06
2.2033456e-05  	-2.41249913e-03	3.37697933e-06
2.2033658e-05  	-2.41251892e-03	3.37700489e-06
2.2033861e-05  	-2.41253871e-03	3.37703048e-06
2.2034064e-05  	-2.41255852e-03	3.37705608e-06
2.2034266e-05  	-2.41257834e-03	3.37708170e-06
2.2034469e-05  	-2.41259816e-03	3.37710731e-06
2.2034672e-05  	-2.41261798e-03	3.37713293e-06
2.2034874e-05  	-2.41263780e-03	3.37715853e-06
2.2035077e-05  	-2.41265763e-03	3.37718413e-06
2.203528e-05   	-2.41267747e-03	3.37720975e-06
2.2035482e-05  	-2.41269733e-03	3.37723537e-06
2.2035685e-05  	-2.41271721e-03	3.37726101e-06
2.2035888e-05  	-2.41273711e-03	3.37728666e-06
2.203609e-05   	-2.41275702e-03	3.37731230e-06
2.2036293e-05  	-2.41277696e-03	3.37733795e-06
2.2036496e-05  	-2.41279792e-03	3.37736365e-06
2.2036698e-05  	-2.41281823e-03	3.37738938e-06
2.2036901e-05  	-2.41283824e-03	3.37741516e-06
2.2037104e-05  	-2.41285930e-03	3.37744100e-06
2.2037306e-05  	-2.41287969e-03	3.37746688e-06
2.2037509e-05  	-2.41290076e-03	3.37749282e-06
2.2037712e-05  	-2.41292117e-03	3.37751880e-06
2.2037914e-05  	-2.41294127e-03	3.37754481e-06
2.2038117e-05  	-2.41296241e-03	3.37757088e-06
2.203832e-05   	-2.41298288e-03	3.37759698e-06
2.2038522e-05  	-2.41300306e-03	3.37762311e-06
2.2038725e-05  	-2.41302357e-03	3.37764928e-06
2.2038928e-05  	-2.41304421e-03	3.37767552e-06
2.203913e-05   	-2.41306491e-03	3.37770184e-06
2.2039333e-05  	-2.41308565e-03	3.37772825e-06
2.2039535e-05  	-2.41310644e-03	3.37775474e-06
2.2039738e-05  	-2.41312729e-03	3.37778131e-06
2.2039941e-05  	-2.41314820e-03	3.37780797e-06
2.2040143e-05  	-2.41316915e-03	3.37783470e-06
2.2040346e-05  	-2.41319015e-03	3.37786149e-06
2.2040549e-05  	-2.41321119e-03	3.37788835e-06
2.2040751e-05  	-2.41323225e-03	3.37791525e-06
2.2040954e-05  	-2.41325333e-03	3.37794219e-06
2.2041156e-05  	-2.41327441e-03	3.37796913e-06
2.2041359e-05  	-2.41329549e-03	3.37799610e-06
2.2041562e-05  	-2.41331657e-03	3.37802309e-06
2.2041764e-05  	-2.41333764e-03	3.37805012e-06
2.2041967e-05  	-2.41335872e-03	3.37807719e-06
2.2042169e-05  	-2.41337980e-03	3.37810433e-06
2.2042372e-05  	-2.41340090e-03	3.37813153e-06
2.2042575e-05  	-2.41342203e-03	3.37815882e-06
2.2042777e-05  	-2.41344319e-03	3.37818621e-06
2.204298e-05   	-2.41346439e-03	3.37821370e-06
2.2043182e-05  	-2.41348562e-03	3.37824129e-06
2.2043385e-05  	-2.41350690e-03	3.37826902e-06
2.2043588e-05  	-2.41352823e-03	3.37829691e-06
2.204379e-05   	-2.41354964e-03	3.37832497e-06
2.2043993e-05  	-2.41357112e-03	3.37835324e-06
2.2044195e-05  	-2.41359267e-03	3.37838168e-06
2.2044398e-05  	-2.41361427e-03	3.37841031e-06
2.20446e-05    	-2.41363591e-03	3.37843910e-06
2.2044803e-05  	-2.41365758e-03	3.37846802e-06
2.2045005e-05  	-2.41367930e-03	3.37849707e-06
2.2045208e-05  	-2.41370105e-03	3.37852624e-06
2.2045411e-05  	-2.41372286e-03	3.37855555e-06
2.2045613e-05  	-2.41374479e-03	3.37858500e-06
2.2045816e-05  	-2.41376692e-03	3.37861457e-06
2.2046018e-05  	-2.41378907e-03	3.37864425e-06
2.2046221e-05  	-2.41381116e-03	3.37867403e-06
2.2046423e-05  	-2.41383313e-03	3.37870386e-06
2.2046626e-05  	-2.41385515e-03	3.37873377e-06
2.2046828e-05  	-2.41387720e-03	3.37876378e-06
2.2047031e-05  	-2.41389930e-03	3.37879388e-06
2.2047233e-05  	-2.41392145e-03	3.37882408e-06
2.2047436e-05  	-2.41394366e-03	3.37885438e-06
2.2047638e-05  	-2.41396594e-03	3.37888478e-06
2.2047841e-05  	-2.41398827e-03	3.37891529e-06
2.2048043e-05  	-2.41401066e-03	3.37894590e-06
2.2048246e-05  	-2.41403311e-03	3.37897661e-06
2.2048448e-05  	-2.41405561e-03	3.37900742e-06
2.2048651e-05  	-2.41407815e-03	3.37903831e-06
2.2048853e-05  	-2.41410073e-03	3.37906929e-06
2.2049056e-05  	-2.41412334e-03	3.37910036e-06
2.2049258e-05  	-2.41414601e-03	3.37913152e-06
2.2049461e-05  	-2.41416871e-03	3.37916280e-06
2.2049663e-05  	-2.41419146e-03	3.37919420e-06
2.2049866e-05  	-2.41421424e-03	3.37922570e-06
2.2050068e-05  	-2.41423704e-03	3.37925730e-06
2.2050271e-05  	-2.41425987e-03	3.37928897e-06
2.2050473e-05  	-2.41428271e-03	3.37932072e-06
2.2050676e-05  	-2.41430558e-03	3.37935254e-06
2.2050878e-05  	-2.41432849e-03	3.37938444e-06
2.2051081e-05  	-2.41435141e-03	3.37941640e-06
2.2051283e-05  	-2.41437437e-03	3.37944845e-06
2.2051485e-05  	-2.41439738e-03	3.37948058e-06
2.2051688e-05  	-2.41442046e-03	3.37951281e-06
2.205189e-05   	-2.41444360e-03	3.37954516e-06
2.2052093e-05  	-2.41446681e-03	3.37957762e-06
2.2052295e-05  	-2.41449007e-03	3.37961016e-06
2.2052498e-05  	-2.41451337e-03	3.37964276e-06
2.20527e-05    	-2.41453673e-03	3.37967543e-06
2.2052903e-05  	-2.41456014e-03	3.37970817e-06
2.2053105e-05  	-2.41458360e-03	3.37974096e-06
2.2053307e-05  	-2.41460711e-03	3.37977381e-06
2.205351e-05   	-2.41463067e-03	3.37980671e-06
2.2053712e-05  	-2.41465428e-03	3.37983966e-06
2.2053915e-05  	-2.41467793e-03	3.37987264e-06
2.2054117e-05  	-2.41470162e-03	3.37990565e-06
2.205432e-05   	-2.41472533e-03	3.37993868e-06
2.2054522e-05  	-2.41474907e-03	3.37997172e-06
2.2054724e-05  	-2.41477284e-03	3.38000477e-06
2.2054927e-05  	-2.41479664e-03	3.38003785e-06
2.2055129e-05  	-2.41482048e-03	3.38007095e-06
2.2055332e-05  	-2.41484434e-03	3.38010404e-06
2.2055534e-05  	-2.41486824e-03	3.38013715e-06
2.2055737e-05  	-2.41489217e-03	3.38017024e-06
2.2055939e-05  	-2.41491610e-03	3.38020337e-06
2.2056141e-05  	-2.41494006e-03	3.38023649e-06
2.2056344e-05  	-2.41496405e-03	3.38026962e-06
2.2056546e-05  	-2.41498807e-03	3.38030273e-06
2.2056749e-05  	-2.41501210e-03	3.38033582e-06
2.2056951e-05  	-2.41503615e-03	3.38036888e-06
2.2057153e-05  	-2.41506022e-03	3.38040192e-06
2.2057356e-05  	-2.41508430e-03	3.38043493e-06
2.2057558e-05  	-2.41510840e-03	3.38046788e-06
2.205776e-05   	-2.41513249e-03	3.38050078e-06
2.2057963e-05  	-2.41515658e-03	3.38053362e-06
2.2058165e-05  	-2.41518066e-03	3.38056638e-06
2.2058368e-05  	-2.41520474e-03	3.38059907e-06
2.205857e-05   	-2.41522882e-03	3.38063175e-06
2.2058772e-05  	-2.41525292e-03	3.38066440e-06
2.2058975e-05  	-2.41527706e-03	3.38069703e-06
