# time                
# Time                	cpu                   	clock                 	cpu/step              	clock/step            
0                     	2.800000000000000e-01	0	0.000000000000000e+00	0.000000000000000e+00
1.19999904000077e-10  	1.753000000000000e+01	17	1.725000000000000e+01	1.700000000000000e+01
2.63999616000445e-10  	3.472000000000000e+01	35	1.719000000000000e+01	1.800000000000000e+01
4.36799071335788e-10  	5.177000000000000e+01	52	1.705000000000000e+01	1.700000000000000e+01
6.4415820274799e-10   	6.881999999999999e+01	69	1.704999999999999e+01	1.700000000000000e+01
8.92988954051989e-10  	8.127000000000000e+01	81	1.245000000000000e+01	1.200000000000000e+01
1.19158555841406e-09  	9.825000000000000e+01	98	1.698000000000000e+01	1.700000000000000e+01
1.54990019973483e-09  	1.154700000000000e+02	115	1.722000000000000e+01	1.700000000000000e+01
1.97987715304205e-09  	1.325500000000000e+02	132	1.708000000000001e+01	1.700000000000000e+01
2.49584683469715e-09  	1.496700000000000e+02	149	1.711999999999998e+01	1.700000000000000e+01
3.11500725792346e-09  	1.667200000000000e+02	167	1.705000000000001e+01	1.800000000000000e+01
3.85799792561604e-09  	1.838000000000000e+02	184	1.708000000000001e+01	1.700000000000000e+01
4.74957877730543e-09  	2.012000000000000e+02	201	1.739999999999998e+01	1.700000000000000e+01
5.81947007569327e-09  	2.189300000000000e+02	219	1.773000000000002e+01	1.800000000000000e+01
7.10332314980061e-09  	2.364400000000000e+02	236	1.750999999999999e+01	1.700000000000000e+01
8.6439270582337e-09   	2.443500000000000e+02	244	7.909999999999997e+00	8.000000000000000e+00
1.04926403548289e-08  	2.614600000000000e+02	261	1.710999999999999e+01	1.700000000000000e+01
1.27110799039868e-08  	2.785400000000000e+02	278	1.708000000000004e+01	1.700000000000000e+01
1.53731482990905e-08  	2.956000000000000e+02	295	1.706000000000000e+01	1.700000000000000e+01
1.85675453231065e-08  	3.126600000000000e+02	312	1.706000000000000e+01	1.700000000000000e+01
2.24007482696493e-08  	3.298100000000000e+02	330	1.714999999999998e+01	1.800000000000000e+01
2.70003801822243e-08  	3.474100000000000e+02	347	1.760000000000002e+01	1.700000000000000e+01
3.25197861127614e-08  	3.650600000000000e+02	365	1.766000000000003e+01	1.800000000000000e+01
3.91427806943095e-08  	3.823500000000000e+02	382	1.729000000000002e+01	1.700000000000000e+01
4.7090058259845e-08   	3.996200000000000e+02	399	1.726999999999998e+01	1.700000000000000e+01
5.66266396873558e-08  	4.173500000000000e+02	417	1.773000000000002e+01	1.800000000000000e+01
6.8069663887071e-08   	4.355000000000000e+02	435	1.814999999999998e+01	1.800000000000000e+01
8.18003495611728e-08  	4.532600000000000e+02	453	1.775999999999999e+01	1.800000000000000e+01
9.8274908448302e-08   	4.709700000000000e+02	471	1.771000000000004e+01	1.800000000000000e+01
1.18041771347303e-07  	4.886300000000000e+02	488	1.765999999999997e+01	1.700000000000000e+01
