# time                
# Time                	cpu                   	clock                 	cpu/step              	clock/step            
0                     	1.000000000000000e-01	0	0.000000000000000e+00	0.000000000000000e+00
1.19999904000077e-10  	3.150000000000000e+00	3	3.050000000000000e+00	3.000000000000000e+00
2.63999616000445e-10  	6.060000000000000e+00	6	2.910000000000000e+00	3.000000000000000e+00
4.36799071335788e-10  	8.990000000000000e+00	9	2.930000000000001e+00	3.000000000000000e+00
6.4415820274799e-10   	1.201000000000000e+01	12	3.020000000000000e+00	3.000000000000000e+00
8.92988954051989e-10  	1.414000000000000e+01	14	2.130000000000001e+00	2.000000000000000e+00
1.19158555841406e-09  	1.725000000000000e+01	17	3.109999999999999e+00	3.000000000000000e+00
1.54990019973483e-09  	2.022000000000000e+01	20	2.969999999999999e+00	3.000000000000000e+00
1.97987715304205e-09  	2.326000000000000e+01	23	3.040000000000003e+00	3.000000000000000e+00
2.49584683469715e-09  	2.632000000000000e+01	26	3.059999999999999e+00	3.000000000000000e+00
3.11500725792346e-09  	2.934000000000000e+01	29	3.020000000000000e+00	3.000000000000000e+00
3.85799792561604e-09  	3.235000000000000e+01	32	3.010000000000002e+00	3.000000000000000e+00
4.74957877730543e-09  	3.548000000000000e+01	35	3.129999999999995e+00	3.000000000000000e+00
5.81947007569327e-09  	3.850000000000000e+01	38	3.020000000000003e+00	3.000000000000000e+00
7.10332314980061e-09  	4.156000000000000e+01	41	3.060000000000002e+00	3.000000000000000e+00
8.6439270582337e-09   	4.468000000000000e+01	44	3.119999999999997e+00	3.000000000000000e+00
1.04926403548289e-08  	4.772000000000000e+01	47	3.039999999999999e+00	3.000000000000000e+00
1.27110799039868e-08  	5.077000000000000e+01	50	3.050000000000004e+00	3.000000000000000e+00
1.53731482990905e-08  	5.385000000000000e+01	53	3.079999999999998e+00	3.000000000000000e+00
1.85675453231065e-08  	5.692000000000000e+01	56	3.070000000000000e+00	3.000000000000000e+00
2.24007482696493e-08  	6.002000000000000e+01	60	3.100000000000001e+00	4.000000000000000e+00
2.70003801822243e-08  	6.322000000000000e+01	63	3.199999999999996e+00	3.000000000000000e+00
3.25197861127614e-08  	6.648000000000000e+01	66	3.260000000000005e+00	3.000000000000000e+00
3.91427806943095e-08  	6.973999999999999e+01	69	3.259999999999991e+00	3.000000000000000e+00
4.7090058259845e-08   	7.303000000000000e+01	73	3.290000000000006e+00	4.000000000000000e+00
