# time                
# Time                	cpu                   	clock                 	cpu/step              	clock/step            
0                     	9.000000000000000e-02	0	0.000000000000000e+00	0.000000000000000e+00
1.19999904000077e-10  	3.130000000000000e+00	3	3.040000000000000e+00	3.000000000000000e+00
2.63999616000445e-10  	6.130000000000000e+00	6	3.000000000000000e+00	3.000000000000000e+00
4.36799071335788e-10  	9.060000000000000e+00	9	2.930000000000001e+00	3.000000000000000e+00
6.4415820274799e-10   	1.202000000000000e+01	12	2.959999999999999e+00	3.000000000000000e+00
8.92988954051989e-10  	1.418000000000000e+01	14	2.160000000000000e+00	2.000000000000000e+00
1.19158555841406e-09  	1.715000000000000e+01	17	2.969999999999999e+00	3.000000000000000e+00
1.54990019973483e-09  	2.018000000000000e+01	20	3.030000000000001e+00	3.000000000000000e+00
1.97987715304205e-09  	2.317000000000000e+01	23	2.990000000000002e+00	3.000000000000000e+00
2.49584683469715e-09  	2.632000000000000e+01	26	3.149999999999999e+00	3.000000000000000e+00
3.11500725792346e-09  	2.935000000000000e+01	29	3.030000000000001e+00	3.000000000000000e+00
3.85799792561604e-09  	3.249000000000000e+01	32	3.140000000000001e+00	3.000000000000000e+00
4.74957877730543e-09  	3.553000000000000e+01	35	3.039999999999999e+00	3.000000000000000e+00
5.81947007569327e-09  	3.891000000000000e+01	38	3.379999999999995e+00	3.000000000000000e+00
7.10332314980061e-09  	4.202000000000000e+01	42	3.110000000000007e+00	4.000000000000000e+00
8.6439270582337e-09   	4.339000000000000e+01	43	1.369999999999997e+00	1.000000000000000e+00
1.04926403548289e-08  	4.644000000000000e+01	46	3.049999999999997e+00	3.000000000000000e+00
1.27110799039868e-08  	4.952000000000000e+01	49	3.080000000000005e+00	3.000000000000000e+00
1.53731482990905e-08  	5.261000000000000e+01	52	3.089999999999996e+00	3.000000000000000e+00
1.85675453231065e-08  	5.576000000000000e+01	55	3.149999999999999e+00	3.000000000000000e+00
2.24007482696493e-08  	5.888000000000000e+01	58	3.120000000000005e+00	3.000000000000000e+00
2.70003801822243e-08  	6.206000000000000e+01	62	3.180000000000000e+00	4.000000000000000e+00
3.25197861127614e-08  	6.528000000000000e+01	65	3.219999999999999e+00	3.000000000000000e+00
3.91427806943095e-08  	6.864000000000000e+01	68	3.359999999999999e+00	3.000000000000000e+00
4.7090058259845e-08   	7.198000000000000e+01	72	3.340000000000003e+00	4.000000000000000e+00
5.66266396873558e-08  	7.534000000000000e+01	75	3.359999999999999e+00	3.000000000000000e+00
6.8069663887071e-08   	7.879000000000001e+01	78	3.450000000000003e+00	3.000000000000000e+00
8.18003495611728e-08  	8.222000000000000e+01	82	3.429999999999993e+00	4.000000000000000e+00
9.8274908448302e-08   	8.573000000000000e+01	85	3.510000000000005e+00	3.000000000000000e+00
1.18041771347303e-07  	8.931999999999999e+01	89	3.589999999999989e+00	4.000000000000000e+00
1.41761068005734e-07  	9.295000000000000e+01	93	3.630000000000010e+00	4.000000000000000e+00
1.7021881634771e-07   	9.662000000000000e+01	96	3.670000000000002e+00	3.000000000000000e+00
2.04360328380423e-07  	1.004000000000000e+02	100	3.780000000000001e+00	4.000000000000000e+00
2.45327339739873e-07  	1.042400000000000e+02	104	3.839999999999989e+00	4.000000000000000e+00
2.94467572577439e-07  	1.081500000000000e+02	108	3.910000000000011e+00	4.000000000000000e+00
3.53430040009386e-07  	1.121200000000000e+02	112	3.969999999999999e+00	4.000000000000000e+00
4.24151523302496e-07  	1.154700000000000e+02	115	3.349999999999994e+00	3.000000000000000e+00
5.07828706896359e-07  	1.171600000000000e+02	117	1.689999999999998e+00	2.000000000000000e+00
6.02583155746934e-07  	1.189200000000000e+02	118	1.760000000000005e+00	1.000000000000000e+00
6.98526608299302e-07  	1.206500000000000e+02	120	1.730000000000004e+00	2.000000000000000e+00
7.8354499305247e-07   	1.222200000000000e+02	122	1.569999999999993e+00	2.000000000000000e+00
8.60876602566849e-07  	1.236900000000000e+02	123	1.469999999999999e+00	1.000000000000000e+00
9.3250891716037e-07   	1.251100000000000e+02	125	1.420000000000002e+00	2.000000000000000e+00
9.99673317894498e-07  	1.264700000000000e+02	126	1.359999999999999e+00	1.000000000000000e+00
1.06321653142602e-06  	1.277500000000000e+02	127	1.280000000000001e+00	1.000000000000000e+00
1.12380243679563e-06  	1.290100000000000e+02	129	1.259999999999991e+00	2.000000000000000e+00
1.18189655992324e-06  	1.302000000000000e+02	130	1.189999999999998e+00	1.000000000000000e+00
1.23785245088592e-06  	1.314000000000000e+02	131	1.200000000000017e+00	1.000000000000000e+00
1.29196869611831e-06  	1.325700000000000e+02	132	1.169999999999987e+00	1.000000000000000e+00
1.34447296808846e-06  	1.337100000000000e+02	133	1.140000000000015e+00	1.000000000000000e+00
1.39558982147287e-06  	1.348500000000000e+02	134	1.139999999999986e+00	1.000000000000000e+00
1.44544038273602e-06  	1.359800000000000e+02	136	1.129999999999995e+00	2.000000000000000e+00
